long,lat,permit_type,issue_year,value
-80.43743141,43.41284372,Industrial Building,2010,0
-80.43743141,43.41284372,Industrial Building,2010,0
-80.41961712,43.38795911,Septic System,2010,0
-80.52173154,43.45284728,Residential Alteration,2010,0
-80.479444,43.47271573,Non-Residential Alteration,2010,0
-80.479444,43.47271573,Mechanical,2010,0
-80.43666584,43.43137545,Residential Alteration,2011,0
-80.5021827,43.46210194,Non-Residential Alteration,2011,0
-80.43437999,43.42956788,Plumbing,2011,0
-80.40794095,43.41881688,Septic System,2012,0
-80.43943951,43.42437434,Non-Residential Alteration,2012,0
-80.4768027,43.45659154,Residential Demolition,2013,0
-80.43497599,43.41332155,Plumbing,2013,0
-80.41365579,43.44191879,Residential Building (House),2013,0
-80.48442091,43.44911709,Residential Alteration,2014,0
-80.48899739,43.44884105,Non-Residential Alteration,2014,0
-80.51111598,43.44916204,Plumbing,2014,0
-80.43497599,43.41332155,Plumbing,2014,0
-80.45399277,43.42493778,Residential Alteration,2014,0
-80.50677388,43.41996902,Plumbing,2014,0
-80.41948256,43.44488089,Residential Alteration,2015,0
-80.48399139,43.46827836,Non-Residential Alteration,2015,0
-80.4846751,43.44744107,Residential Building (Multi),2015,0
-80.43943951,43.42437434,Non-Residential Alteration,2015,0
-80.479444,43.47271573,Non-Residential Alteration,2015,0
-80.48378746,43.4577796,Non-Residential Alteration,2015,0
-80.46480484,43.41017397,Residential Accessory (1 or 2 units),2016,0
-80.50594806,43.41642422,Residential Alteration,2016,0
-80.46487466,43.45842271,Residential Building (House),2016,0
-80.44818414,43.39050447,Residential Alteration,2016,0
-80.50403127,43.45907481,Residential Demolition,2016,0
-80.46695606,43.48068343,Residential Building (House),2016,0
-80.48567902,43.44624751,Residential Alteration,2016,0
-80.42474727,43.3823086,Residential Accessory (1 or 2 units),2016,0
-80.48026027,43.4590756,Residential Building (House),2016,0
-80.49275265,43.43208736,Residential Building (House),2017,0
-80.53192228,43.44098841,Residential Accessory (1 or 2 units),2017,0
-80.4840368,43.38458763,Residential Accessory (1 or 2 units),2017,0
-80.38623281,43.40666646,Non-Residential Alteration,2017,0
-80.38504535,43.40354863,Non-Residential Demolition,2017,0
-80.43943951,43.42437434,Non-Residential Alteration,2017,0
-80.51849832,43.44659145,Plumbing,2017,0
-80.53028685,43.40548319,Residential Accessory (1 or 2 units),2017,0
-80.42584462,43.41288394,Septic System,2017,0
-80.52891528,43.41220699,Residential Building (House),2018,0
-80.48244303,43.48642474,Residential Demolition,2018,0
-80.49481612,43.44880999,Residential Alteration,2018,0
-80.41276939,43.43569251,Residential Alteration,2018,0
-80.48124905,43.37778559,Residential Demolition,2018,0
-80.49092875,43.45025441,Non-Residential Alteration,2018,0
-80.52503125,43.39939109,Residential Accessory (1 or 2 units),2018,0
-80.49302779,43.43150474,Plumbing,2018,0
-80.50989474,43.44353596,Residential Alteration,2018,0
-80.44211408,43.38442529,Residential Alteration,2018,0
-80.44103325,43.38426316,Residential Accessory (1 or 2 units),2019,0
-80.409911,43.40562959,Residential Alteration,2019,0
-80.42850028,43.39169428,Residential Building (Multi),2019,0
-80.45013531,43.41885302,Non-Residential Demolition,2019,0
-80.49092875,43.45025441,Non-Residential Alteration,2019,0
-80.48017035,43.45750446,Residential Building (House),2019,0
-80.46733181,43.440932,Non-Residential Alteration,2019,0
-80.50754981,43.45729676,Non-Residential Alteration,2019,0
-80.41546742,43.39126758,Residential Accessory (1 or 2 units),2019,0
-80.54643151,43.48079008,Non Residential Building Permit,2017,0
-80.52656211,43.47908089,Mixed Use Building Permit,2014,0
-80.5304543,43.4709087,Non Residential Building Permit,2012,0
-80.52346346,43.47057696,Non Residential Building Permit,2010,0
-80.53202754,43.45906439,Residential Building Permit,2011,0
-80.59875298,43.47119603,Residential Building Permit,2016,0
-80.49772244,43.49418928,Non Residential Building Permit,2010,0
-80.52498695,43.50178326,Residential Building Permit,2012,0
-80.53101366,43.47107639,Residential Building Permit,2016,0
-80.537263,43.4768016,Residential Building Permit,2011,0
-80.51614951,43.47415192,Residential Building Permit,2012,0
-80.50084452,43.50137424,Residential Building Permit,2012,0
-80.53222025,43.47494422,Non Residential Building Permit,2017,0
-80.55496888,43.45629774,Residential Building Permit,2012,0
-80.60569771,43.48120903,Residential Building Permit,2016,0
-80.52824714,43.474522,Residential Building Permit,2016,0
-80.52824714,43.474522,Non Residential Building Permit,2011,0
-80.52824714,43.474522,Non Residential Building Permit,2011,0
-80.53616678,43.48236374,Non Residential Building Permit,2010,0
-80.51982045,43.46937368,Residential Building Permit,2011,0
-80.51540998,43.46161821,Residential Building Permit,2013,0
-80.53772008,43.47848728,Mixed Use Building Permit,2017,0
-80.53772008,43.47848728,Mixed Use Building Permit,2017,0
-80.53772008,43.47848728,Mixed Use Building Permit,2017,0
-80.53265892,43.47451243,Residential Building Permit,2012,0
-80.56350866,43.49219891,Residential Building Permit,2012,0
-80.59083849,43.49155014,Residential Building Permit,2010,0
-80.5362323,43.47900349,Mixed Use Building Permit,2017,0
-80.51639673,43.47152313,Residential Building Permit,2012,0
-80.52065435,43.46466089,Non Residential Building Permit,2010,0
-80.53538285,43.47430518,Mixed Use Building Permit,2015,0
-80.53147092,43.47649776,Residential Building Permit,2016,0
-80.53472276,43.47347329,Mixed Use Building Permit,2015,0
-80.5200992,43.45886266,Residential Building Permit,2015,0
-80.5198199,43.46168339,Residential Building Permit,2017,0
-80.51976192,43.46173651,Residential Building Permit,2017,0
-80.51970263,43.46178868,Residential Building Permit,2017,0
-80.52024303,43.46335856,Residential Building Permit,2018,0
-80.52024303,43.46335856,Residential Building Permit,2019,0
-80.5401451,43.47913916,Non Residential Building Permit,2019,0
-80.52156972,43.51020299,Non Residential Building Permit,2019,0
-80.51633412,43.5181328,Non Residential Building Permit,2019,0
-80.53686799,43.46585988,Non Residential Building Permit,2011,0
-80.52899011,43.46305396,Residential Building Permit,2013,0
-80.5289901,43.46305396,Residential Building Permit,2012,0
-80.5289901,43.46305396,Non Residential Building Permit,2012,0
-80.52156972,43.51020299,Non Residential Building Permit,2018,0
-80.5206982,43.51199381,Non Residential Building Permit,2018,0
-80.53438762,43.4724172,Residential Building Permit,2019,0
-80.4843008,43.4237338,Non-Residential Alteration,2013,1
-80.48643782,43.47041892,Residential Building (House),2015,1
-80.43160306,43.42851822,Non-Residential Alteration,2018,1
-80.4452991,43.40072351,Mechanical,2018,1
-80.43943951,43.42437434,Non-Residential Alteration,2018,1
-80.44344222,43.3992185,Residential Alteration,2019,3
-80.4395441,43.38986375,Residential Alteration,2012,36
-80.48476637,43.38660581,Residential Accessory (1 or 2 units),2012,50
-80.40919769,43.44920017,Residential Accessory (1 or 2 units),2012,50
-80.52720838,43.41956496,Residential Alteration,2014,50
-80.56019518,43.48803312,Residential Building Permit,2018,50
-80.51195454,43.48238748,Residential Building Permit,2012,63
-80.55952855,43.43911413,Residential Building Permit,2012,65
-80.53156321,43.46313361,Residential Building Permit,2018,75
-80.51610854,43.47408558,Residential Building Permit,2017,75
-80.56034683,43.48937706,Residential Building Permit,2012,85
-80.54895822,43.45710179,Residential Building Permit,2012,96
-80.50025959,43.45983539,Residential Accessory (1 or 2 units),2012,100
-80.51240577,43.44582904,Plumbing,2013,100
-80.51238821,43.43472221,Plumbing,2014,100
-80.48783555,43.4508158,Commercial Building,2014,100
-80.47116877,43.44341823,Plumbing,2014,100
-80.51397328,43.43489308,Plumbing,2014,100
